"ID_HEX|TRADUCAO
0x0001|The door is tightly closed...
0x0002|Lucia: <HERO>! And everyone! I'm proud to have been able to travel with you.
0x0003|{7f30} “Ggogorn!
0x0004|Did you guys defeat the second Emperor of Hell? That was crazy!
0x0005|Goggone Goggone.
0x0006|thank you very much. Now I won't have to watch people suffer anymore.
0x0007|oh! Everything is God's guidance!
0x0008|It is a statue of a goddess with a benevolent smile.
0x0009|Manya: Well, the final battle might have been a little dangerous without me.
0x000A|Alina: ``I really wanted to show you our deadly battle with the Emperor of Hell!''
0x000B|Ryan: ``I think the reason we were able to return home alive from the final battle was because we all worked together.
0x000C|Manya: Lucia has started saying stubborn things like, ``I'm proud of you.''
0x000D|Ryan: Now that we've completed our mission, I feel like I won't be able to see Lucia like I used to.
0x000E|Alina: ``I'll give Despisaro a handicap. At most, I hope he evolves in the depths of the earth!''
0x000F|Torneko: "Hey, Despisaro is trying to evolve! That's a big deal. Torneko: If we wait too long, we'll have to fight something like Estarc again. My father was killed just after he created the mysterious secret method of teaching. Manya: If that's the case, as long as we don't destroy the secret method of evolution, then the attack is over. I can't say it.
0x0010|Minea: The secret of evolution created by my father is now in Despisaro's hands and he is abusing it.
0x0011|Ryan: Let's use the secret of evolution to make Despisaro a dead man.
0x0012|Minea: Lucia looks ladylike for some reason when she's with the Skyling. Is she wearing a cat hat?
0x0013|Clift: ``She was conspicuous during her journey, but when the only Skylings around her are Lucia-san, she seems normal.''
0x0014|Ryan: ``As expected, Lucia doesn't talk to me as casually as before with the other Skylings.
0x0015|Manya: Well, Lucia has become quite aloof since she came here.
0x0016|Arena: Since it's a dragon, {7f30}'s scales must be hard and tough. Arena: If that's the case, you might not need to wear any armor.
0x0017|Minea: Unfortunately, {7f30} is not a guided person, but he is definitely a valuable force.
0x0018|Bligh: ``Well, Dragon. Now that I've come here, I've made another strong friend.
0x0019|Manya: {7f30}Oh... Maybe if we let him dance on the Montbarbara stage, he might become popular.
0x001A|It is a seedling of the world tree that was grown by Daiji.
0x001B|<HERO>Ya. Even though you don't have a father or mother, you have such wonderful friends... Everyone, please be friends with <HERO> forever. …………………. Oh, I hope you're doing well, even though you're so weird.
0x001C|Take a look! Look! Look at the happy faces of the people on the ground!
0x001D|You did it! ? I reviewed it!
0x001E|Manya: Half of us are celestial beings, but our HERO friends who grew up on earth are like us earthlings.
0x001F|Alina: ``Hero and I have been best friends ever since we met!'' Alina: ``That's why you should come visit us at Santheim.
0x0020|Ryan: Is it just my imagination? That woman looks like <HERO>... No, it's just my imagination.
0x0021|Minea: <HERO> and I are similar in that we don't have a father.
0x0022|Torneko: Hate? I heard a very similar story somewhere.
0x0023|Manya: Hey, according to this story, doesn't that mean <HERO>'s mother is still alive?
0x0024|Clift: One thing is clear: <HERO>'s father is dead and no longer in this world. Clift: Oh, I'm sorry. I blurted it out...
0x0025|Master Dragon: ``...I am Master Dragon. Master Dragon: From here, I know everything about this world.
0x0026|Koto no Deki
0x0027|person. Master Dragon: “The blood of skylings and humans.”
0x0028|Hey brave hero <HERO>! Master Dragon: ``Through your work, the secret of evolution has been discovered.'' The monsters are afraid of the arena.
0x0029|The world is finally at peace...
0x002A|Master Dragon: "Yohei, guided ones! Thank you from the bottom of my heart." Master Dragon: "Ryan! You've done a great job. Master Dragon: "Alina. Even though you're a woman, you've done your best." Master Dragon: "Bly and Clift helped Alina, too. If I look at you now, my father will surely be impressed.
0x002B|It will be! Master Dragon: ``Tornekko. From now on, I will continue to serve the world and people.''
0x002C|Heiou
0x002D|Master Dragon: ``If it weren't for that person's power, I'd never be able to return home.''
0x002E|A woman. I wouldn't have been able to. Master Dragon: By the way, <HERO>! Master Dragon:
0x002F|things to do
0x0030|Tosukego's experimental person
0x0031|Kotomoa
0x0032|transformation
0x0033|…. Master Dragon: ``From now on, you should live with me in this castle in the sky as a sky person!'' Master Dragon: ``Hmm? What's wrong with that face...? Master Dragon: ``Come to earth with those people.''
0x0034|. Do you have a chemical test? ……………. Master Dragon: “Okay! Now!
0x0035|-. Sky over Suminea
0x0036|Takama Takama Tsukia
0x0037|Ratan... There are no more people like Tamo Tower. Master Dragon: <HERO>! Please be very careful!
0x0038|humans and demons
0x0039|I can't believe the Heiou are cooperating with each other... This will surely be talked about forever.
0x003A|Reese: Yes, you're a big sister. You weren't all bad people, were you? Hey, Reese.
0x003B|Reese: Hey, from now on, we'll be together.
0x003C|It's a big deal.
0x003D|Reese: ``Hey, from now on, we'll be good friends, and we'll all be friends. Lalrin and Kururin will be friends with each other in the world.
0x003E|Nayonoko. Poor Manya
0x003F|So brave....
0x0040|Oh, it's so hot! I don't want to leave behind the heroes.
0x0041|Your stories will be written down here and talked about forever!
0x0042|Human beings are also hard to look down on.
0x0043|Oh <HERO>! You are the octopus, Bryce too!
0x0044|Master Dragon “Tsukia in the midst of battle”
0x0045|Ratan... there are no more people like Tamo Tower to destroy. Master Dragon: <HERO>! Be very careful as you proceed!
0x0046|Master Dragon: ``...I am Master Dragon. Master Dragon: From here, I know everything about this world.
0x0047|Koto no Deki
0x0048|person. Master Dragon: “The blood of skylings and humans.”
0x0049|Hey brave hero <HERO>! Master Dragon: “The secret of evolution is through your work.”
0x004A|Nayonokomakosu Chi no ra Chi no Aha I went with a horse. Master Dragon: People are no longer scared.
0x004B|Peace to the world without any problems...
